,DATE,GDP
242,2007-10-01,2.5
243,2008-01-01,-2.3
244,2008-04-01,2.1
245,2008-07-01,-2.1
246,2008-10-01,-8.4
247,2009-01-01,-4.4
248,2009-04-01,-0.6
249,2009-07-01,1.5
250,2009-10-01,4.5
251,2010-01-01,1.5
252,2010-04-01,3.7
253,2010-07-01,3.0
254,2010-10-01,2.0
255,2011-01-01,-1.0
256,2011-04-01,2.9
257,2011-07-01,-0.1
258,2011-10-01,4.7
259,2012-01-01,3.2
260,2012-04-01,1.7
261,2012-07-01,0.5
262,2012-10-01,0.5
263,2013-01-01,3.6
264,2013-04-01,0.5
265,2013-07-01,3.2
266,2013-10-01,3.2
267,2014-01-01,-1.0
268,2014-04-01,5.1
269,2014-07-01,4.9
270,2014-10-01,1.9
271,2015-01-01,3.3
272,2015-04-01,3.3
273,2015-07-01,1.0
274,2015-10-01,0.4
275,2016-01-01,1.5
276,2016-04-01,2.3
277,2016-07-01,1.9
278,2016-10-01,1.8
279,2017-01-01,1.8
280,2017-04-01,3.0
281,2017-07-01,2.8
282,2017-10-01,2.3
283,2018-01-01,2.2
284,2018-04-01,4.2
285,2018-07-01,3.4
