,DATE,EXCH,STOCK,GOLD
0,05-02-1971,2.4147,100.0,38.41
1,08-02-1971,2.4182,100.84,38.7
2,09-02-1971,2.4151,100.76,38.85
3,10-02-1971,2.4159,100.69,38.85
4,11-02-1971,2.4158,101.45,38.95
5,12-02-1971,2.4169666666666667,102.05,38.85
6,15-02-1971,2.418133333333333,102.12,38.95
7,16-02-1971,2.4193,102.19,38.95
8,17-02-1971,2.4193,101.74,38.875
9,18-02-1971,2.4191,101.42,38.84
10,19-02-1971,2.419,100.7,38.725
11,22-02-1971,2.4192,99.68,38.75
12,23-02-1971,2.4193,99.72,38.79
13,24-02-1971,2.4193,100.64,38.75
14,25-02-1971,2.4177,101.23,38.78
15,26-02-1971,2.416,101.34,38.8
16,01-03-1971,2.4162,101.78,38.69
17,02-03-1971,2.4184,101.84,38.71
18,03-03-1971,2.4193,102.07,38.81
19,04-03-1971,2.4179,102.78,38.75
20,05-03-1971,2.4183,103.51,38.75
21,08-03-1971,2.4192,104.23,38.79
22,09-03-1971,2.4188,104.41,38.81
23,10-03-1971,2.4192,104.14,38.845
24,11-03-1971,2.4188,104.26,39.0
25,12-03-1971,2.4193,104.5,39.04
26,15-03-1971,2.4193,105.13,39.0
27,16-03-1971,2.4183,105.56,38.9
28,17-03-1971,2.4194,105.5,38.925
29,18-03-1971,2.419,105.88,39.0
30,19-03-1971,2.419,105.77,38.95
31,22-03-1971,2.4193,105.37,38.96
32,23-03-1971,2.4193,105.11,38.95
33,24-03-1971,2.4194,104.7,38.89
34,25-03-1971,2.4185,104.6,38.925
35,26-03-1971,2.4188,105.07,38.88
36,29-03-1971,2.4194,105.2,38.775
37,30-03-1971,2.4181,105.44,38.8
38,31-03-1971,2.4168,105.97,38.875
39,01-04-1971,2.4147,106.34,38.9
40,02-04-1971,2.4125,106.86,38.875
41,05-04-1971,2.4161,107.17,38.89
42,06-04-1971,2.4189,107.56,38.85
43,07-04-1971,2.417,108.06,38.9
44,08-04-1971,2.4167,108.38,38.98
45,09-04-1971,2.4167,108.625,38.97
46,12-04-1971,2.4169,108.87,38.96
47,13-04-1971,2.4167,108.85,38.95
48,14-04-1971,2.418,109.08,38.9
49,15-04-1971,2.4187,109.69,38.91
50,16-04-1971,2.4186,109.96,38.95
51,19-04-1971,2.4193,110.16,38.95
52,20-04-1971,2.4193,109.53,38.91
53,21-04-1971,2.4196,109.52,38.9
54,22-04-1971,2.4187,109.99,39.15
55,23-04-1971,2.4189,110.69,39.045
56,26-04-1971,2.4188,111.13,38.9
57,27-04-1971,2.419,111.69,38.95
58,28-04-1971,2.4195,112.37,39.225
59,29-04-1971,2.4192,112.46,39.45
60,30-04-1971,2.4193,112.3,39.7
61,03-05-1971,2.4189,111.35,39.43
62,04-05-1971,2.4185,111.77,39.65
63,05-05-1971,2.4194,111.68,40.1
64,06-05-1971,2.4185,111.06,40.3
65,07-05-1971,2.4188,110.66,39.775
66,10-05-1971,2.4173,110.15,39.84
67,11-05-1971,2.417,110.33,40.2
68,12-05-1971,2.4183,110.37,40.45
69,13-05-1971,2.4183,110.55,40.8
70,14-05-1971,2.4186,110.74,41.2
71,17-05-1971,2.4193,109.15,40.7
72,18-05-1971,2.419,108.4,40.9
73,19-05-1971,2.4194,108.33,40.6
74,20-05-1971,2.4193,108.72,41.15
75,21-05-1971,2.4194,108.85,40.975
76,24-05-1971,2.4194,108.42,40.775
77,25-05-1971,2.419,107.5,41.025
78,26-05-1971,2.4194,107.53,40.9
79,27-05-1971,2.4187,107.6,40.7
80,28-05-1971,2.4178,108.25,40.84
81,31-05-1971,2.417,108.56,40.84
82,01-06-1971,2.4162,108.87,40.84
83,02-06-1971,2.417,109.56,40.6
84,03-06-1971,2.4188,110.22,40.6
85,04-06-1971,2.419,110.66,40.6
86,07-06-1971,2.4192,110.76,40.45
87,08-06-1971,2.4188,110.02,40.175
88,09-06-1971,2.4194,109.79,39.925
89,10-06-1971,2.4193,110.06,39.75
90,11-06-1971,2.4194,110.2,39.6
91,14-06-1971,2.4186,109.57,39.55
92,15-06-1971,2.4187,109.36,39.59
93,16-06-1971,2.4193,109.44,39.975
94,17-06-1971,2.4189,109.44,39.84
95,18-06-1971,2.4191,108.16,39.95
96,21-06-1971,2.4191,106.5,39.95
97,22-06-1971,2.419,105.49,40.125
98,23-06-1971,2.4195,105.99,40.3
99,24-06-1971,2.4191,106.37,40.375
100,25-06-1971,2.4191,106.56,40.1
101,28-06-1971,2.4185,106.45,39.95
102,29-06-1971,2.419,107.22,39.9
103,30-06-1971,2.4196,107.8,40.1
104,01-07-1971,2.419,108.47,40.24
105,02-07-1971,2.419,108.77,40.375
106,05-07-1971,2.41855,109.0,40.3
107,06-07-1971,2.4181,109.23,40.3
108,07-07-1971,2.4187,110.01,40.25
109,08-07-1971,2.4185,110.42,40.275
110,09-07-1971,2.4183,110.91,40.24
111,12-07-1971,2.4182,111.24,40.375
112,13-07-1971,2.418,110.76,40.31
113,14-07-1971,2.4187,110.34,40.35
114,15-07-1971,2.4187,110.72,40.425
115,16-07-1971,2.4189,109.98,40.74
116,19-07-1971,2.4183,109.37,41.0
117,20-07-1971,2.4182,109.79,40.9
118,21-07-1971,2.4191,109.74,41.16
119,22-07-1971,2.4188,109.54,41.7
120,23-07-1971,2.419,109.63,41.625
121,26-07-1971,2.418,109.35,41.75
122,27-07-1971,2.4178,108.57,41.9
123,28-07-1971,2.4185,107.45,42.05
124,29-07-1971,2.4184,105.81,42.275
125,30-07-1971,2.4184,105.27,42.4
126,02-08-1971,2.4175,105.59,42.35
127,03-08-1971,2.417,104.41,42.25
128,04-08-1971,2.4193,103.26,42.5
129,05-08-1971,2.4183,103.11,42.75
130,06-08-1971,2.4185,103.78,42.56
131,09-08-1971,2.4192,103.18,43.94
132,10-08-1971,2.4187,103.04,43.25
133,11-08-1971,2.4197,104.08,42.85
134,12-08-1971,2.4196,105.21,43.25
135,13-08-1971,2.4195,105.44,43.0
136,16-08-1971,2.4220833333333336,107.86,43.025
137,17-08-1971,2.424666666666667,108.93,43.05
138,18-08-1971,2.42725,108.39,43.15
139,19-08-1971,2.4298333333333333,108.01,43.3
140,20-08-1971,2.4324166666666667,107.89,43.3
141,23-08-1971,2.435,108.26,43.3
142,24-08-1971,2.4447,108.6,43.2
143,25-08-1971,2.4589,108.85,42.775
144,26-08-1971,2.4723,108.97,42.0
145,27-08-1971,2.4693,109.3,41.125
146,30-08-1971,2.4677,108.71,40.8875
147,31-08-1971,2.4535,108.42,40.65
148,01-09-1971,2.4541,108.65,41.1
149,02-09-1971,2.4576,108.96,41.375
150,03-09-1971,2.459,109.98,41.7
151,06-09-1971,2.45865,110.255,41.725
152,07-09-1971,2.4583,110.53,41.65
153,08-09-1971,2.4584,110.58,41.4
154,09-09-1971,2.4587,110.55,41.75
155,10-09-1971,2.4592,110.42,41.65
156,13-09-1971,2.4602,110.22,41.62
157,14-09-1971,2.467,109.77,41.79
158,15-09-1971,2.4709,109.79,41.95
159,16-09-1971,2.471,109.78,42.24
160,17-09-1971,2.472,110.1,42.05
161,20-09-1971,2.4743,109.99,42.3
162,21-09-1971,2.4733,109.82,42.31
163,22-09-1971,2.474,108.99,42.2
164,23-09-1971,2.4805,108.8,42.24
165,24-09-1971,2.4825,108.88,42.5
166,27-09-1971,2.4803,108.18,42.575
167,28-09-1971,2.4782,108.38,43.15
168,29-09-1971,2.4838,108.6,42.6
169,30-09-1971,2.4847,109.03,42.6
170,01-10-1971,2.4892,109.58,42.4
171,04-10-1971,2.4889,109.96,42.525
172,05-10-1971,2.4894,109.99,42.425
173,06-10-1971,2.4882,110.68,42.45
174,07-10-1971,2.4894,110.98,42.545
175,08-10-1971,2.4802,110.74,42.45
176,11-10-1971,2.48485,110.71,42.51
177,12-10-1971,2.4895,110.91,42.51
178,13-10-1971,2.4891,110.69,42.7
179,14-10-1971,2.4806,109.87,42.625
180,15-10-1971,2.4889,109.6,42.55
181,18-10-1971,2.4894,109.06,42.56
182,19-10-1971,2.4893,107.99,42.575
183,20-10-1971,2.4912,106.58,42.525
184,21-10-1971,2.4921,106.61,42.475
185,22-10-1971,2.4927,106.8,42.475
186,25-10-1971,2.4933500000000004,106.29,42.525
187,26-10-1971,2.494,105.69,42.5
188,27-10-1971,2.4945,104.28,42.475
189,28-10-1971,2.4938,104.5,42.45
190,29-10-1971,2.4914,105.1,42.34
191,01-11-1971,2.4927,103.69,42.15
192,02-11-1971,2.49285,103.54,42.325
193,03-11-1971,2.4930000000000003,105.01,42.2
194,04-11-1971,2.4928,105.56,42.2
195,05-11-1971,2.4936,105.46,42.325
196,08-11-1971,2.4931,105.43,42.4
197,09-11-1971,2.4926,105.72,42.52
198,10-11-1971,2.4925,104.86,42.625
199,11-11-1971,2.4934,103.74,42.61
200,12-11-1971,2.4937,103.91,42.7
201,15-11-1971,2.4930000000000003,103.44,42.85
202,16-11-1971,2.4929,103.71,42.8
203,17-11-1971,2.4938,103.64,42.84
204,18-11-1971,2.4935,103.44,43.125
205,19-11-1971,2.4938,102.95,43.1
206,22-11-1971,2.4937,101.79,43.25
207,23-11-1971,2.4939,100.31,43.26
208,24-11-1971,2.4935,100.4,43.42
209,25-11-1971,2.4936,101.02,43.525
210,26-11-1971,2.4937,101.64,43.4
211,29-11-1971,2.4938,103.08,43.66
212,30-11-1971,2.4937,103.97,43.6
213,01-12-1971,2.4939,105.06,43.54
214,02-12-1971,2.4930000000000003,106.15,43.75
215,03-12-1971,2.4985,107.26,43.8
216,06-12-1971,2.4978,106.92,43.975
217,07-12-1971,2.5011,107.26,43.8
218,08-12-1971,2.5079,107.71,43.45
219,09-12-1971,2.5175,107.97,43.65
220,10-12-1971,2.5182,108.81,43.69
221,13-12-1971,2.519,109.16,43.625
222,14-12-1971,2.5189,109.07,43.65
223,15-12-1971,2.5192,109.45,43.575
224,16-12-1971,2.5197,110.01,43.175
225,17-12-1971,2.5292,110.52,42.75
226,20-12-1971,2.54145,111.5,42.72
227,21-12-1971,2.5537,111.73,43.125
228,22-12-1971,2.5538,111.97,43.35
229,23-12-1971,2.5485,111.94,43.425
230,24-12-1971,2.5477,111.82,43.41333333333333
231,27-12-1971,2.5482,111.7,43.401666666666664
232,28-12-1971,2.5473,111.93,43.39
233,29-12-1971,2.5474,112.57,43.55
234,30-12-1971,2.5536,112.97,43.55
235,31-12-1971,2.552,114.12,43.775
236,03-01-1972,2.552,113.65,44.0
237,04-01-1972,2.5505,113.93,44.38
238,05-01-1972,2.551,114.83,44.525
239,06-01-1972,2.5502,115.72,45.25
240,07-01-1972,2.5502,116.05,45.85
241,10-01-1972,2.5498,116.1,45.75
242,11-01-1972,2.549,116.64,45.25
243,12-01-1972,2.5504,116.9,45.29
244,13-01-1972,2.5541,116.42,45.425
245,14-01-1972,2.572,116.74,45.925
246,17-01-1972,2.585,116.93,46.175
247,18-01-1972,2.58,117.66,45.85
248,19-01-1972,2.5801,117.45,45.875
249,20-01-1972,2.5815,117.32,45.9
250,21-01-1972,2.5824,117.21,45.9
251,24-01-1972,2.5873,116.49,46.0
252,25-01-1972,2.5903,116.3,46.125
253,26-01-1972,2.5894,116.39,46.2
254,27-01-1972,2.5903,117.37,46.6
255,28-01-1972,2.5914,118.44,47.35
256,31-01-1972,2.5937,118.87,47.15
257,01-02-1972,2.5998,119.58,48.1
258,02-02-1972,2.6067,120.47,49.25
259,03-02-1972,2.6046,120.66,48.0
260,04-02-1972,2.6,121.24,47.0
261,07-02-1972,2.6029,121.14,47.575
262,08-02-1972,2.6037,121.35,48.1
263,09-02-1972,2.605,122.16,48.1
264,10-02-1972,2.6059,122.71,48.45
265,11-02-1972,2.6055,122.86,48.25
266,14-02-1972,2.5952,122.26,47.85
267,15-02-1972,2.5937,122.61,47.95
268,16-02-1972,2.6045,123.35,48.25
269,17-02-1972,2.605,123.44,48.33
270,18-02-1972,2.6055,123.4,48.4
271,21-02-1972,2.60525,123.35,48.65
272,22-02-1972,2.605,123.3,48.65
273,23-02-1972,2.6062,123.61,48.65
274,24-02-1972,2.6069999999999998,124.0,48.85
275,25-02-1972,2.6054,124.83,48.475
276,28-02-1972,2.6057,124.94,48.45
277,29-02-1972,2.6059,125.38,48.2
278,01-03-1972,2.6058,126.29,48.025
279,02-03-1972,2.6058,126.58,48.225
280,03-03-1972,2.6077,127.19,48.075
281,06-03-1972,2.6112,127.88,48.25
282,07-03-1972,2.6213,127.83,48.28
283,08-03-1972,2.6257,128.4,48.125
284,09-03-1972,2.6439999999999997,128.85,48.45
285,10-03-1972,2.6409,128.55,48.4
286,13-03-1972,2.6387,127.34,48.46
287,14-03-1972,2.6289999999999996,127.73,48.41
288,15-03-1972,2.6210000000000004,128.14,48.375
289,16-03-1972,2.62,127.77,48.4
290,17-03-1972,2.61,128.01,48.375
291,20-03-1972,2.6105,127.53,48.375
292,21-03-1972,2.6175,125.73,48.43
293,22-03-1972,2.6168,126.36,48.375
294,23-03-1972,2.6096,127.38,48.4
295,24-03-1972,2.6065,127.55,48.35
296,27-03-1972,2.6107,127.56,48.34
297,28-03-1972,2.615,127.72,48.3
298,29-03-1972,2.616,127.53,48.4
299,30-03-1972,2.6152,128.14,48.38
300,31-03-1972,2.6163,128.1,48.39
301,03-04-1972,2.616,128.06,48.4
302,04-04-1972,2.6128,128.78,48.41
303,05-04-1972,2.612,130.0,48.4
304,06-04-1972,2.6093,130.92,48.29
305,07-04-1972,2.6088,131.8,48.35
306,10-04-1972,2.6082,131.76,48.375
307,11-04-1972,2.6115,132.47,48.525
308,12-04-1972,2.6125,133.17,48.925
309,13-04-1972,2.6102,133.06,48.95
310,14-04-1972,2.6086,133.88,49.35
311,17-04-1972,2.6082,133.74,49.425
312,18-04-1972,2.6068,134.1,49.45
313,19-04-1972,2.6068,132.68,49.4
314,20-04-1972,2.6093,132.86,49.4
315,21-04-1972,2.6084,133.01,49.35
316,24-04-1972,2.6099,131.9,49.375
317,25-04-1972,2.6111,130.84,49.275
318,26-04-1972,2.611,130.92,49.275
319,27-04-1972,2.6116,131.01,49.45
320,28-04-1972,2.611,131.33,49.6
321,01-05-1972,2.611,130.16,50.35
322,02-05-1972,2.6108,129.34,50.375
323,03-05-1972,2.6115,128.77,50.45
324,04-05-1972,2.6112,128.92,50.4
325,05-05-1972,2.6105,129.43,51.05
326,08-05-1972,2.6107,128.62,52.075
327,09-05-1972,2.6139,125.78,53.7
328,10-05-1972,2.6152,126.77,53.1
329,11-05-1972,2.6128,127.95,53.0
330,12-05-1972,2.613,129.44,52.9
331,15-05-1972,2.6122,130.34,53.1
332,16-05-1972,2.6113,130.36,54.6
333,17-05-1972,2.6136,129.76,57.75
334,18-05-1972,2.6135,130.82,56.9
335,19-05-1972,2.6132,132.16,57.05
336,22-05-1972,2.6133,132.38,57.35
337,23-05-1972,2.6128,132.72,57.45
338,24-05-1972,2.6133,133.47,57.05
339,25-05-1972,2.6116,133.8,57.0
340,26-05-1972,2.6126,133.95,57.95
341,29-05-1972,2.61255,133.7,58.25
342,30-05-1972,2.6125,133.45,58.55
343,31-05-1972,2.613,132.53,59.45
344,01-06-1972,2.6125,133.13,59.225
345,02-06-1972,2.6117,133.52,59.4
346,05-06-1972,2.6114,132.74,59.5
347,06-06-1972,2.6109,132.0,61.5
348,07-06-1972,2.6115,131.0,64.85
349,08-06-1972,2.6112,131.07,64.5
350,09-06-1972,2.6112,130.57,62.5
351,12-06-1972,2.6069999999999998,130.38,61.2
352,13-06-1972,2.6076,130.78,61.6
353,14-06-1972,2.608,131.45,61.4
354,15-06-1972,2.6008,131.29,61.05
355,16-06-1972,2.5913,131.28,61.5
356,19-06-1972,2.591,130.76,61.2
357,20-06-1972,2.585,131.07,61.15
358,21-06-1972,2.576,131.38,61.25
359,22-06-1972,2.572,130.79,61.75
360,23-06-1972,2.5,130.22,63.1
361,26-06-1972,2.5195,129.31,63.4
362,27-06-1972,2.4925,129.79,62.8
363,28-06-1972,2.485,129.58,64.0
364,29-06-1972,2.4635,129.35,64.5
365,30-06-1972,2.441,130.08,64.65
366,03-07-1972,2.421,130.59,65.5
367,04-07-1972,2.4335,130.935,65.0
368,05-07-1972,2.4459999999999997,131.28,66.0
369,06-07-1972,2.4355,131.86,66.0
370,07-07-1972,2.4385,131.5,65.3
371,10-07-1972,2.4419999999999997,130.85,65.6
372,11-07-1972,2.441,130.47,65.2
373,12-07-1972,2.4455,130.11,65.1
374,13-07-1972,2.4537,129.03,64.9
375,14-07-1972,2.4465,129.38,65.0
376,17-07-1972,2.4445,128.4,65.5
377,18-07-1972,2.4445,127.54,65.45
378,19-07-1972,2.4455,127.77,64.85
379,20-07-1972,2.447,127.09,65.3
380,21-07-1972,2.4505,127.63,65.0
381,24-07-1972,2.4458,128.77,65.2
382,25-07-1972,2.4482,128.47,65.525
383,26-07-1972,2.4483,128.65,65.75
384,27-07-1972,2.4505,128.36,66.3
385,28-07-1972,2.449,128.15,68.2
386,31-07-1972,2.4498,127.75,68.3
387,01-08-1972,2.4485,128.45,69.3
388,02-08-1972,2.4505,129.39,70.0
389,03-08-1972,2.4497,130.31,69.0
390,04-08-1972,2.4505,130.94,68.5
391,07-08-1972,2.4505,130.97,67.5
392,08-08-1972,2.4527,130.61,66.1
393,09-08-1972,2.454,130.75,65.15
394,10-08-1972,2.4525,130.84,66.75
395,11-08-1972,2.4522,131.68,65.7
396,14-08-1972,2.4523,131.7,65.7
397,15-08-1972,2.4534,131.48,65.75
398,16-08-1972,2.4542,131.46,66.5
399,17-08-1972,2.4523,130.89,66.425
400,18-08-1972,2.4509,131.43,66.6
401,21-08-1972,2.4498,131.29,66.8
402,22-08-1972,2.4461,131.29,67.0
403,23-08-1972,2.4476,131.1,67.05
404,24-08-1972,2.4459999999999997,130.4,67.35
405,25-08-1972,2.4465,130.31,67.125
406,28-08-1972,2.4464,129.77,66.9
407,29-08-1972,2.4497,129.44,66.675
408,30-08-1972,2.4509,129.78,66.9
409,31-08-1972,2.4483,129.95,66.875
410,01-09-1972,2.4489,130.7,66.85
411,04-09-1972,2.4487,130.515,66.85
412,05-09-1972,2.4485,130.33,66.95
413,06-09-1972,2.4496,129.63,67.0
414,07-09-1972,2.4485,129.21,67.1
415,08-09-1972,2.4467,129.13,67.1
416,11-09-1972,2.4464,128.26,67.25
417,12-09-1972,2.4461,127.18,66.85
418,13-09-1972,2.4472,127.51,67.0
419,14-09-1972,2.4476,127.58,66.825
420,15-09-1972,2.447,127.67,65.5
421,18-09-1972,2.4465,127.61,61.25
422,19-09-1972,2.4429,127.42,64.25
423,20-09-1972,2.444,127.51,65.0
424,21-09-1972,2.4432,127.3,65.25
425,22-09-1972,2.434,127.46,63.9
426,25-09-1972,2.4329,126.82,63.5
427,26-09-1972,2.4307,127.07,63.95
428,27-09-1972,2.4284,128.55,63.8
429,28-09-1972,2.4223,129.13,64.4
430,29-09-1972,2.4195,129.61,64.2
431,02-10-1972,2.4242,129.3,64.15
432,03-10-1972,2.4231,129.48,64.1
433,04-10-1972,2.424,129.29,65.2
434,05-10-1972,2.4232,128.01,65.6
435,06-10-1972,2.4217,128.13,65.5
436,09-10-1972,2.4204,128.51,65.5
437,10-10-1972,2.4191,129.02,65.25
438,11-10-1972,2.4204,128.57,65.0
439,12-10-1972,2.4185,127.87,64.675
440,13-10-1972,2.4179,127.19,64.725
441,16-10-1972,2.4055,125.87,65.1
442,17-10-1972,2.4074,126.43,64.95
443,18-10-1972,2.408,127.05,64.85
444,19-10-1972,2.3925,126.91,65.05
445,20-10-1972,2.3926,128.0,65.0
446,23-10-1972,2.38405,128.66,64.8
447,24-10-1972,2.3755,128.91,64.8
448,25-10-1972,2.3609999999999998,128.89,64.7
449,26-10-1972,2.344,129.37,64.525
450,27-10-1972,2.346,129.53,64.6
451,30-10-1972,2.33,129.46,64.55
452,31-10-1972,2.3405,130.24,64.39
453,01-11-1972,2.3565,131.59,64.0
454,02-11-1972,2.3532,132.12,64.0
455,03-11-1972,2.345,133.34,64.15
456,06-11-1972,2.3565,133.58,64.05
457,07-11-1972,2.35375,133.32,63.875
458,08-11-1972,2.351,133.06,63.65
459,09-11-1972,2.3447,132.82,63.1
460,10-11-1972,2.3480000000000003,133.12,62.8
461,13-11-1972,2.349,132.77,62.625
462,14-11-1972,2.3504,132.9,61.975
463,15-11-1972,2.3554,132.45,61.975
464,16-11-1972,2.3595,132.62,61.44
465,17-11-1972,2.3504,132.33,60.35
466,20-11-1972,2.351,132.12,61.1
467,21-11-1972,2.3518,132.19,62.55
468,22-11-1972,2.3509,132.49,62.5
469,23-11-1972,2.35035,132.755,62.375
470,24-11-1972,2.3498,133.02,62.7
471,27-11-1972,2.3506,132.57,64.0
472,28-11-1972,2.3519,132.71,63.75
473,29-11-1972,2.3528,132.73,63.5
474,30-11-1972,2.3522,132.96,63.6
475,01-12-1972,2.3474,133.94,64.2
476,04-12-1972,2.3478,134.14,63.4
477,05-12-1972,2.3446,134.28,63.1
478,06-12-1972,2.3443,134.68,63.1
479,07-12-1972,2.3405,135.06,63.1
480,08-12-1972,2.3432,135.15,63.1
481,11-12-1972,2.338,134.83,62.9
482,12-12-1972,2.3381,134.27,62.9
483,13-12-1972,2.34,133.66,63.15
484,14-12-1972,2.3415,133.33,63.4
485,15-12-1972,2.347,133.53,63.925
486,18-12-1972,2.3478,132.54,65.1
487,19-12-1972,2.3438,132.39,65.4
488,20-12-1972,2.3462,131.93,64.45
489,21-12-1972,2.3447,131.08,64.2
490,22-12-1972,2.3475,131.28,64.2
491,25-12-1972,2.34805,131.23000000000002,64.5
492,26-12-1972,2.3486,131.18,64.8
493,27-12-1972,2.3504,131.93,65.1
494,28-12-1972,2.3476,132.82999999999998,64.65
495,29-12-1972,2.3480000000000003,133.73,64.9
496,01-01-1973,2.3476,134.18,65.0
497,02-01-1973,2.3472,134.63,65.1
498,03-01-1973,2.3487,135.38,65.3
499,04-01-1973,2.3503,135.44,64.9
500,05-01-1973,2.3517,135.91,65.25
501,08-01-1973,2.351,136.02,65.1
502,09-01-1973,2.3514,135.99,65.15
503,10-01-1973,2.3525,136.06,65.0
504,11-01-1973,2.3513,136.84,65.025
505,12-01-1973,2.3518,136.01,65.15
506,15-01-1973,2.3509,134.6,65.1
507,16-01-1973,2.3509,134.03,65.1
508,17-01-1973,2.3527,134.07,64.65
509,18-01-1973,2.3531,134.34,63.9
510,19-01-1973,2.3525,133.87,64.5
511,22-01-1973,2.3535,133.15,65.2
512,23-01-1973,2.3553,132.44,65.2
513,24-01-1973,2.3595,130.49,64.95
514,25-01-1973,2.3605,130.125,65.6
515,26-01-1973,2.3609999999999998,129.76,65.5
516,29-01-1973,2.371,128.46,65.3
517,30-01-1973,2.379,128.22,66.075
518,31-01-1973,2.3817,128.4,66.0
519,01-02-1973,2.3871,126.94,66.6
520,02-02-1973,2.364,126.48,66.9
521,05-02-1973,2.3808,126.0,67.6
522,06-02-1973,2.379,126.27,68.8
523,07-02-1973,2.383,124.99,68.65
524,08-02-1973,2.3828,123.97,69.0
525,09-02-1973,2.3818,125.86,68.1
526,12-02-1973,2.4109,126.88,68.55
527,13-02-1973,2.44,127.19,68.9
528,14-02-1973,2.47,125.42,72.3
529,15-02-1973,2.45,124.43,73.65
530,16-02-1973,2.4331,124.55,73.3
531,19-02-1973,2.4358,124.78,74.9
532,20-02-1973,2.4385,125.01,76.5
533,21-02-1973,2.4419999999999997,123.95,79.3
534,22-02-1973,2.461,123.68,86.5
535,23-02-1973,2.474,122.34,85.0
536,26-02-1973,2.465,121.27,80.7
537,27-02-1973,2.468,119.8,83.7
538,28-02-1973,2.49,120.41,85.0
539,01-03-1973,2.5,119.53,85.7
540,02-03-1973,2.5,120.11,86.3
541,05-03-1973,2.447,120.55,84.0
542,06-03-1973,2.4619999999999997,121.91,83.0
543,07-03-1973,2.472,122.28,82.5
544,08-03-1973,2.4730000000000003,122.11,83.75
545,09-03-1973,2.4705,121.99,82.875
546,12-03-1973,2.47,121.86,82.5
547,13-03-1973,2.4685,122.09,80.0
548,14-03-1973,2.464,122.1,80.0
549,15-03-1973,2.464,121.6,82.75
550,16-03-1973,2.457,121.22,82.75
551,19-03-1973,2.46,119.94,82.25
552,20-03-1973,2.4665,119.26,82.25
553,21-03-1973,2.4737,117.89,81.6
554,22-03-1973,2.474,115.69,81.7
555,23-03-1973,2.4737,115.47,84.5
556,26-03-1973,2.4767,115.54,90.0
557,27-03-1973,2.4814,116.89,90.0
558,28-03-1973,2.4814,117.14,88.5
559,29-03-1973,2.4819999999999998,118.19,89.25
560,30-03-1973,2.4755,117.46,90.0
561,02-04-1973,2.4776,115.79,89.25
562,03-04-1973,2.4762,114.47,90.0
563,04-04-1973,2.4814,112.89,90.25
564,05-04-1973,2.4825,112.02,90.9
565,06-04-1973,2.483,113.27,90.75
566,09-04-1973,2.4837,114.01,91.0
567,10-04-1973,2.4867,114.81,91.0
568,11-04-1973,2.4878,115.29,91.25
569,12-04-1973,2.4834,115.59,90.9
570,13-04-1973,2.4805,115.22,90.0
571,16-04-1973,2.4822,114.55,89.3
572,17-04-1973,2.4845,113.64,90.25
573,18-04-1973,2.4823,113.71,91.0
574,19-04-1973,2.4837,114.15,90.75
575,20-04-1973,2.4848,113.585,90.76666666666668
576,23-04-1973,2.4845,113.02,90.78333333333332
577,24-04-1973,2.4836,111.23,90.8
578,25-04-1973,2.488,109.37,90.15
579,26-04-1973,2.4863,109.72,90.55
580,27-04-1973,2.4867,108.4,90.6
581,30-04-1973,2.489,107.85,90.725
582,01-05-1973,2.4883,107.96,90.7
583,02-05-1973,2.4935,109.05,90.6
584,03-05-1973,2.4893,109.81,90.3
585,04-05-1973,2.4896,110.89,90.3
586,07-05-1973,2.4913,110.48,90.3
587,08-05-1973,2.4984,110.67,91.4
588,09-05-1973,2.5044,110.54,92.75
589,10-05-1973,2.5055,110.32,94.8
590,11-05-1973,2.511,109.1,96.7
591,14-05-1973,2.539,106.46,102.25
592,15-05-1973,2.5639999999999996,106.14,110.0
593,16-05-1973,2.5435,106.1,106.5
594,17-05-1973,2.5469999999999997,105.19,104.25
595,18-05-1973,2.5505,102.89,105.5
596,21-05-1973,2.5695,100.76,112.0
597,22-05-1973,2.5605,101.59,110.5
598,23-05-1973,2.5555,102.09,109.75
599,24-05-1973,2.546,104.27,110.0
600,25-05-1973,2.5395,105.17,106.5
601,28-05-1973,2.54775,105.01,108.25
602,29-05-1973,2.556,104.85,110.0
603,30-05-1973,2.5645,103.19,113.25
604,31-05-1973,2.5661,102.64,114.75
605,01-06-1973,2.573,102.3,117.75
606,04-06-1973,2.583,100.77,123.5
607,05-06-1973,2.58,101.71,126.0
608,06-06-1973,2.57,101.7,121.5
609,07-06-1973,2.573,102.57,118.5
610,08-06-1973,2.574,103.72,117.25
611,11-06-1973,2.5725,103.04,115.5
612,12-06-1973,2.5742,104.79,117.25
613,13-06-1973,2.573,104.33,115.5
614,14-06-1973,2.577,103.56,117.75
615,15-06-1973,2.58,102.26,120.0
616,18-06-1973,2.5810000000000004,100.77,122.5
617,19-06-1973,2.571,100.96,120.25
618,20-06-1973,2.574,101.19,120.0
619,21-06-1973,2.573,100.4,120.5
620,22-06-1973,2.574,100.99,120.0
621,25-06-1973,2.575,99.43,118.5
622,26-06-1973,2.577,99.96,123.25
623,27-06-1973,2.5805,100.22,122.25
624,28-06-1973,2.583,101.16,121.5
625,29-06-1973,2.5810000000000004,100.98,123.25
626,02-07-1973,2.5802,100.15,121.0
627,03-07-1973,2.5789999999999997,99.45,122.0
628,04-07-1973,2.57625,99.42,123.5
629,05-07-1973,2.5735,99.39,123.0
630,06-07-1973,2.5575,99.48,127.0
631,09-07-1973,2.5580000000000003,100.01,126.0
632,10-07-1973,2.5469999999999997,101.18,123.0
